label,板块,公司家数,平均价格,涨跌额,涨跌幅,总成交量,总成交额,股票代码,个股-涨跌幅,个股-当前价,个股-涨跌额,股票名称
new_blhy,玻璃行业,19,19.747894736842,1.1805263157895,6.3580701853847,954931768,21071675653,sz300395,18.987,123.58,19.72,菲利华
new_cbzz,船舶制造,8,18.181428571429,0.15285714285714,0.84786053882726,930062331,14990638338,sz300123,8.219,7.9,0.6,亚光科技
new_cmyl,传媒娱乐,40,9.8747222222222,0.0097222222222222,0.098552683448781,1674065512,19878305244,sz000793,5.054,2.91,0.14,ST华闻
new_dlhy,电力行业,62,8.5591666666667,0.10433333333333,1.2340081610124,3731714162,27822414602,sz000899,10.027,12.07,1.1,赣能股份
new_dqhy,电器行业,58,19.46,0.14518518518519,0.75167785234899,1897727049,30718188773,sz002176,9.969,10.48,0.95,江特电机
new_dzqj,电子器件,152,25.477430555556,0.43020833333333,1.7175889985583,9165642226,160426017814,sz300301,11.45,2.92,0.3,ST长方
new_dzxx,电子信息,247,20.501221719457,0.030090497737557,0.14698991185026,11000037917,208970791892,sz000547,10.007,30.34,2.76,航天发展
new_fdc,房地产,123,8.3685,0.1172,1.4203822427981,5339804252,29649800290,sz000056,10.048,2.3,0.21,皇庭国际
new_fdsb,发电设备,65,19.233559322034,0.13728813559322,0.71892640323783,4297789246,65846040955,sz002498,10.067,8.2,0.75,汉缆股份
new_fjzz,飞机制造,14,34.307142857143,0.21357142857143,0.62642726948943,716604078,23816100365,sh600879,6.276,25.57,1.51,航天电子
new_fzhy,纺织行业,42,8.7402941176471,0.019117647058824,0.21920949682989,708752103,5123066960,sh600152,4.648,8.78,0.39,维科技术
new_fzjx,纺织机械,8,13.267142857143,0.10714285714286,0.81415544941381,202256176,2402857968,sz002021,10.154,3.58,0.33,中捷资源
new_fzxl,服装鞋类,49,9.8464444444444,0.067111111111111,0.6862544595178,1485710376,12405801434,sh600884,10.036,15.13,1.38,杉杉股份
new_glql,公路桥梁,20,6.8972222222222,-0.014444444444444,-0.20898641588297,253027476,1426317626,sh601188,1.114,3.63,0.04,龙江交通
new_gsgq,供水供气,25,7.7052,0.1312,1.7322418801162,492348762,3264205513,sz000593,10.035,15.9,1.45,德龙汇能
new_gthy,钢铁行业,60,9.1037735849057,0.2322641509434,2.6180905591357,7342985121,32056925513,sh600010,10.15,2.93,0.27,包钢股份
new_hbhy,环保行业,27,7.634,0.0696,0.92009941304003,854067792,5049578911,sz000826,10.044,2.52,0.23,启迪环境
new_hghy,化工行业,150,16.130070422535,0.38957746478873,2.4750016777397,7188140927,102057231607,sz300437,19.975,18.98,3.16,清水源
new_hqhy,化纤行业,26,10.972608695652,0.10913043478261,1.0045625550308,1123774308,12288488408,sh600889,6.071,18.17,1.04,南京化纤
new_jdhy,家电行业,37,16.313125,0.0478125,0.29395377432804,1199081817,13463925691,sz002677,4.894,9.43,0.44,浙江美大
