日期,星期,上证指数收盘,上证涨跌,上证涨跌幅%,深证成指收盘,深证涨跌,深证涨跌幅%,创业板指收盘,创业板涨跌,创业板涨跌幅%,两市成交额(亿),市场情绪,阶段判断
2026-01-05,周一,4023.42,54.58,1.38,13828.63,303.61,2.24,3294.55,91.38,2.85,25463.47,数据起始日,数据积累期
2026-01-06,周二,4083.67,60.25,1.5,14022.55,193.92,1.4,3319.29,24.74,0.75,28065.75,温和上涨,数据积累期
2026-01-07,周三,4085.77,2.1,0.05,14030.56,8.01,0.06,3329.69,10.4,0.31,28542.2,窄幅震荡,数据积累期
2026-01-08,周四,4082.98,-2.79,-0.07,13959.48,-71.08,-0.51,3302.31,-27.38,-0.82,28003.85,窄幅震荡,数据积累期
2026-01-09,周五,4120.43,37.45,0.92,14120.15,160.67,1.15,3327.81,25.5,0.77,31227.67,温和上涨,震荡上升期
2026-01-12,周一,4165.29,44.86,1.09,14366.91,246.76,1.75,3388.34,60.53,1.82,36014.5,温和上涨,震荡上升期
2026-01-13,周二,4138.76,-26.53,-0.64,14169.4,-197.51,-1.37,3321.89,-66.45,-1.96,36510.65,温和调整,震荡期
2026-01-14,周三,4126.09,-12.67,-0.31,14248.6,79.2,0.56,3349.14,27.25,0.82,39414.84,窄幅震荡,震荡期
2026-01-15,周四,4112.6,-13.49,-0.33,14306.73,58.13,0.41,3367.92,18.78,0.56,29055.63,窄幅震荡,震荡期
2026-01-16,周五,4101.91,-10.69,-0.26,14281.08,-25.65,-0.18,3361.02,-6.9,-0.2,30263.22,窄幅震荡,震荡期
2026-01-19,周一,4114.0,12.09,0.29,14294.05,12.97,0.09,3337.61,-23.41,-0.7,27084.27,窄幅震荡,震荡期
2026-01-20,周二,4113.65,-0.35,-0.01,14155.63,-138.42,-0.97,3277.98,-59.63,-1.79,27777.99,窄幅震荡,震荡期
2026-01-21,周三,4116.94,3.29,0.08,14255.13,99.5,0.7,3295.52,17.54,0.54,26007.01,窄幅震荡,震荡期
2026-01-22,周四,4122.58,5.64,0.14,14327.05,71.92,0.5,3328.65,33.13,1.01,26917.33,窄幅震荡,震荡期
2026-01-23,周五,4136.16,13.58,0.33,14439.66,112.61,0.79,3349.5,20.85,0.63,30852.24,窄幅震荡,震荡期
2026-01-26,周一,4132.61,-3.55,-0.09,14316.64,-123.02,-0.85,3319.15,-30.35,-0.91,32482.03,窄幅震荡,震荡期
2026-01-27,周二,4139.9,7.29,0.18,14329.91,13.27,0.09,3342.6,23.45,0.71,28949.81,窄幅震荡,震荡期
2026-01-28,周三,4151.24,11.34,0.27,14342.89,12.98,0.09,3323.56,-19.04,-0.57,29654.1,窄幅震荡,震荡期
2026-01-29,周四,4157.98,6.74,0.16,14300.08,-42.81,-0.3,3304.51,-19.05,-0.57,32300.08,窄幅震荡,震荡期
2026-01-30,周五,4117.95,-40.03,-0.96,14205.89,-94.19,-0.66,3346.36,41.85,1.27,28355.38,温和调整,震荡期
2026-02-02,周一,4015.75,-102.2,-2.48,13824.35,-381.54,-2.69,3264.11,-82.25,-2.46,25847.65,明显下跌,调整期
2026-02-03,周二,4067.74,51.99,1.29,14127.11,302.76,2.19,3324.89,60.78,1.86,25442.32,温和上涨,震荡期
2026-02-04,周三,4102.2,34.46,0.85,14156.27,29.16,0.21,3311.51,-13.38,-0.4,24809.71,温和上涨,震荡期
2026-02-05,周四,4075.92,-26.28,-0.64,13952.71,-203.56,-1.44,3260.28,-51.23,-1.55,21762.2,温和调整,震荡期
2026-02-06,周五,4065.58,-10.34,-0.25,13906.73,-45.98,-0.33,3236.46,-23.82,-0.73,21457.19,窄幅震荡,震荡期
2026-02-09,周一,4123.09,57.51,1.41,14208.44,301.71,2.17,3332.77,96.31,2.98,22494.73,温和上涨,震荡上升期
2026-02-10,周二,4128.37,5.28,0.13,14210.63,2.19,0.02,3320.54,-12.23,-0.37,21055.35,窄幅震荡,震荡期
2026-02-11,周三,4131.99,3.62,0.09,14160.93,-49.7,-0.35,3284.74,-35.8,-1.08,19842.52,窄幅震荡,震荡期
2026-02-12,周四,4134.02,2.03,0.05,14283.0,122.07,0.86,3328.06,43.32,1.32,21417.38,窄幅震荡,震荡期
2026-02-13,周五,4082.07,-51.95,-1.26,14100.19,-182.81,-1.28,3275.96,-52.1,-1.57,19826.8,温和调整,震荡期
